Product line,Unit price,Quantity,Tax 5%,Total,Payment
Health and beauty,75,7,26.25,551.25,Ewallet
Electronic accessories,15,5,3.75,78.75,Cash
Home and lifestyle,46,7,16.1,338.1,Credit card
Health and beauty,58,8,23.2,487.2,Ewallet
Sports and travel,86,7,30.1,632.1,Ewallet
Electronic accessories,85,7,29.75,624.75,Ewallet
Electronic accessories,69,6,20.7,434.7,Ewallet
Home and lifestyle,74,10,37,777,Ewallet
Health and beauty,36,2,3.6,75.6,Credit card
Food and beverages,55,3,8.25,173.25,Credit card
Fashion accessories,14,4,2.8,58.8,Ewallet
Electronic accessories,26,4,5.2,109.2,Cash
Electronic accessories,47,5,11.75,246.75,Ewallet
Food and beverages,43,10,21.5,451.5,Ewallet
Health and beauty,71,10,35.5,745.5,Cash
Sports and travel,94,6,28.2,592.2,Cash
Health and beauty,69,7,24.15,507.15,Credit card
Sports and travel,73,6,21.9,459.9,Credit card
Food and beverages,55,3,8.25,173.25,Credit card
Home and lifestyle,40,2,4,84,Ewallet
Electronic accessories,86,5,21.5,451.5,Ewallet
Health and beauty,88,3,13.2,277.2,Ewallet
Home and lifestyle,33,2,3.3,69.3,Credit card
Electronic accessories,35,5,8.75,183.75,Ewallet
Sports and travel,89,3,13.35,280.35,Ewallet
Home and lifestyle,53,8,21.2,445.2,Credit card
Fashion accessories,34,1,1.7,35.7,Cash
Fashion accessories,88,2,8.8,184.8,Credit card
Food and beverages,88,5,22,462,Cash
Health and beauty,25,9,11.25,236.25,Cash
Fashion accessories,94,5,23.5,493.5,Credit card
Sports and travel,78,9,35.1,737.1,Cash
Sports and travel,84,8,33.6,705.6,Cash
Health and beauty,97,2,9.7,203.7,Credit card
Food and beverages,99,4,19.8,415.8,Ewallet
Sports and travel,68,1,3.4,71.4,Ewallet
Sports and travel,63,5,15.75,330.75,Ewallet
Electronic accessories,61,9,27.45,576.45,Ewallet
Health and beauty,55,8,22,462,Ewallet
Home and lifestyle,30,8,12,252,Cash
Home and lifestyle,87,1,4.35,91.35,Ewallet
Home and lifestyle,56,2,5.6,117.6,Cash
Sports and travel,69,6,20.7,434.7,Cash
Food and beverages,99,8,39.6,831.6,Cash
Health and beauty,15,2,1.5,31.5,Cash
Electronic accessories,94,4,18.8,394.8,Cash
Health and beauty,57,9,25.65,538.65,Credit card
Food and beverages,20,9,9,189,Ewallet
Electronic accessories,19,6,5.7,119.7,Credit card
Fashion accessories,83,10,41.5,871.5,Ewallet
Food and beverages,91,7,31.85,668.85,Cash
Food and beverages,45,5,11.25,236.25,Cash
Fashion accessories,18,4,3.6,75.6,Ewallet
Fashion accessories,15,1,0.75,15.75,Credit card
Home and lifestyle,16,2,1.6,33.6,Ewallet
Electronic accessories,86,8,34.4,722.4,Cash
Home and lifestyle,44,2,4.4,92.4,Cash
Health and beauty,90,8,36,756,Ewallet
Home and lifestyle,72,10,36,756,Cash
Electronic accessories,31,6,9.3,195.3,Cash
Sports and travel,25,3,3.75,78.75,Credit card
Home and lifestyle,56,6,16.8,352.8,Ewallet
Sports and travel,55,9,24.75,519.75,Ewallet
Sports and travel,16,10,8,168,Credit card
Health and beauty,76,4,15.2,319.2,Cash
Health and beauty,16,10,8,168,Cash
Health and beauty,33,2,3.3,69.3,Ewallet
Fashion accessories,98,6,29.4,617.4,Ewallet
